board_temp,micro_temp,integration_time,scans_averaged,boxcar_width,max_reported,upper_bound,lower_bound,model,serial,obtained,Primary,Setting
NA,NA,450638,2,2,50899.949952301205,58981.5,52428.0,JAZ,JAZA1505,2022-09-13 10:57:45.620445,6,4095
NA,NA,975664,2,2,52277.262947883064,58981.5,52428.0,JAZ,JAZA1505,2022-09-13 10:57:52.412061,0,4095
NA,NA,368775,2,2,52154.212641519305,58981.5,52428.0,JAZ,JAZA1505,2022-09-13 10:57:57.070029,7,4095
NA,NA,589227,2,2,54176.81517459818,58981.5,52428.0,JAZ,JAZA1505,2022-09-13 10:58:02.488267,4,4095
NA,NA,977612,2,2,47453.42747602586,58981.5,52428.0,JAZ,JAZA1505,2022-09-13 10:58:09.133092,3,4095
NA,NA,495666,2,2,54392.24100153677,58981.5,52428.0,JAZ,JAZA1505,2022-09-13 10:58:14.462160,9,4095
NA,NA,977518,2,2,48279.55919433667,58981.5,52428.0,JAZ,JAZA1505,2022-09-13 10:58:21.222511,2,4095
NA,NA,623291,2,2,53970.38303156034,58981.5,52428.0,JAZ,JAZA1505,2022-09-13 10:58:26.806165,5,4095
NA,NA,799522,2,2,53887.21504246222,58981.5,52428.0,JAZ,JAZA1505,2022-09-13 10:58:33.112744,1,4095
NA,NA,475627,2,2,54493.9855078985,58981.5,52428.0,JAZ,JAZA1505,2022-09-13 10:58:38.155306,8,4095
