Wavelength,Radiance [W/m2/sr]
380,0.0003164
382,0.0002936
384,0.0002714
386,0.0002376
388,0.00019514
390,0.00017784
392,0.00018496
394,0.0002004
396,0.0002324
398,0.0002756
400,0.0003486
402,0.0004552
404,0.0006204
406,0.0008828
408,0.0012702
410,0.0018738
412,0.002742
414,0.004004
416,0.00586
418,0.008346
420,0.011336
422,0.014638
424,0.017498
426,0.018762
428,0.01844
430,0.016906
432,0.015136
434,0.01399
436,0.014002
438,0.015082
440,0.016958
442,0.019084
444,0.02102
446,0.02202
448,0.02176
450,0.02026
452,0.01883
454,0.018136
456,0.018482
458,0.0197
460,0.02144
462,0.02304
464,0.02388
466,0.02394
468,0.0232
470,0.0221
472,0.02108
474,0.02022
476,0.019668
478,0.019256
480,0.01874
482,0.017852
484,0.016626
486,0.01501
488,0.013502
490,0.012296
492,0.01148
494,0.011072
496,0.011086
498,0.011498
500,0.01218
502,0.013016
504,0.01395
506,0.014916
508,0.01579
510,0.016442
512,0.016788
514,0.016906
516,0.016824
518,0.01663
520,0.01637
522,0.016154
524,0.015954
526,0.015732
528,0.015444
530,0.014922
532,0.014236
534,0.013496
536,0.012666
538,0.0118
540,0.01095
542,0.010154
544,0.00958
546,0.009118
548,0.008722
550,0.00839
552,0.008118
554,0.007914
556,0.007744
558,0.007588
560,0.007458
562,0.00735
564,0.007286
566,0.007248
568,0.007242
570,0.007218
572,0.007232
574,0.007258
576,0.007276
578,0.0073
580,0.007296
582,0.007292
584,0.007294
586,0.007286
588,0.007274
590,0.00725
592,0.007246
594,0.007222
596,0.007204
598,0.0072
600,0.007202
602,0.007254
604,0.007332
606,0.00746
608,0.007662
610,0.007964
612,0.008342
614,0.00883
616,0.009482
618,0.010424
620,0.011456
622,0.012658
624,0.014102
626,0.016104
628,0.018454
630,0.0208
632,0.02264
634,0.02306
636,0.0213
638,0.018652
640,0.016218
642,0.014654
644,0.014076
646,0.014472
648,0.015572
650,0.017254
652,0.01948
654,0.0218
656,0.023
658,0.0218
660,0.018078
662,0.012872
664,0.00928
666,0.006802
668,0.00514
670,0.00388
672,0.003094
674,0.002534
676,0.002116
678,0.0017932
680,0.001568
682,0.0014008
684,0.0012758
686,0.0011698
688,0.0010844
690,0.0010082
692,0.0009466
694,0.000894
696,0.0008352
698,0.0007948
700,0.000734
702,0.0006796
704,0.0006324
706,0.000594
708,0.0005588
710,0.0005352
712,0.0005096
714,0.0004922
716,0.0004588
718,0.0004322
720,0.000394
722,0.0003578
724,0.000337
726,0.0003232
728,0.0003096
730,0.0003086
732,0.0003016
734,0.0003068
736,0.000296
738,0.000273
740,0.0002532
742,0.0002346
744,0.0002224
746,0.0002212
748,0.0002226
750,0.0002234
752,0.0002226
754,0.0002402
756,0.0002372
758,0.00022
760,0.000208
762,0.00016528
764,0.00016212
766,0.00015678
768,0.00015682
770,0.00017278
772,0.00018224
774,0.00017748
776,0.00017018
778,0.00016424
780,0.00013762
